dataset,lambda,seed,metric,n_confident,n_uncertain,median_confident,median_uncertain,U,p_value,cliffs_delta,effect
telco,0.0,6,spearman,1265,493,0.8857142857142858,0.6571428571428573,445250.5,1.5341787939693828e-44,0.42789728130587124,medium
telco,0.0,6,kendall,1265,493,0.7333333333333333,0.4666666666666666,443882.0,5.33053082355959e-44,0.4235085665723288,medium
telco,0.0,6,jaccard,1265,493,0.6666666666666666,0.6666666666666666,415826.5,7.55627657719982e-34,0.3335359058438696,medium
telco,0.0,7,spearman,1326,432,0.8999999999999998,0.8857142857142858,333363.5,2.2021176655366024e-07,0.16391367800681533,small
telco,0.0,7,kendall,1326,432,0.7999999999999999,0.7333333333333333,333726.5,1.584614889006269e-07,0.16518106530361432,small
telco,0.0,7,jaccard,1326,432,1.0,1.0,322399.5,4.6490719969855116e-06,0.1256336936483995,negligible
telco,0.0,8,spearman,1251,507,0.8999999999999998,0.7714285714285715,453058.0,1.263110321752157e-45,0.4286259355434785,medium
telco,0.0,8,kendall,1251,507,0.7999999999999999,0.6,453167.0,4.156033456754e-46,0.42896964479698285,medium
telco,0.0,8,jaccard,1251,507,0.6666666666666666,0.6666666666666666,421975.5,2.8742164985614425e-35,0.3306136156163826,medium
telco,0.0,9,spearman,1345,413,0.8999999999999998,0.8857142857142858,331907.5,1.2664565232210537e-09,0.1950187673834578,small
telco,0.0,9,kendall,1345,413,0.7999999999999999,0.7333333333333333,330784.0,2.4712261442112395e-09,0.19097365365401409,small
telco,0.0,9,jaccard,1345,413,1.0,0.6666666666666666,335311.5,5.164137383907449e-13,0.20727472388993395,small
telco,0.0,10,spearman,1310,448,0.8999999999999998,0.8857142857142858,357293.5,3.3143712623898203e-12,0.21760325790621593,small
telco,0.0,10,kendall,1310,448,0.7999999999999999,0.7333333333333333,357407.5,2.6349748989771783e-12,0.2179917529989095,small
telco,0.0,10,jaccard,1310,448,0.6666666666666666,0.6666666666666666,307025.5,0.09910970864810745,0.04629736913849514,negligible
telco,0.0,11,spearman,1287,471,0.942857142857143,0.8857142857142858,408177.5,4.066674209792636e-30,0.3467271110583212,medium
telco,0.0,11,kendall,1287,471,0.8666666666666666,0.7333333333333333,407175.5,1.1593457233667475e-29,0.3434211459689167,medium
telco,0.0,11,jaccard,1287,471,1.0,0.6666666666666666,368848.5,2.021097154838858e-16,0.2169663316160131,small
telco,0.0,12,spearman,1285,473,0.8999999999999998,0.8285714285714287,379735.5,5.247175386418168e-16,0.24953068829641079,small
telco,0.0,12,kendall,1285,473,0.7999999999999999,0.7333333333333333,379840.0,3.493483960333738e-16,0.24987454858054803,small
telco,0.0,12,jaccard,1285,473,0.6666666666666666,0.6666666666666666,350228.0,3.346507708973753e-08,0.1524354028018855,small
telco,0.0,13,spearman,1279,479,0.8285714285714287,0.7714285714285715,344668.5,4.806260160238028e-05,0.12518914013263882,negligible
telco,0.0,13,kendall,1279,479,0.6190476190476191,0.6,341958.5,0.0001396721858610462,0.11634219714318816,negligible
telco,0.0,13,jaccard,1279,479,1.0,0.6666666666666666,359747.0,2.1714659707016478e-10,0.17441372679921852,small
telco,0.0,14,spearman,1291,467,0.942857142857143,0.942857142857143,341332.0,6.221824242028139e-06,0.13230618165291919,negligible
telco,0.0,14,kendall,1291,467,0.8666666666666666,0.8666666666666666,341130.5,6.891989171005348e-06,0.13163774243361637,negligible
telco,0.0,14,jaccard,1291,467,1.0,1.0,312281.5,0.14013968275525163,0.03593648666355942,negligible
telco,0.0,15,spearman,1332,426,0.8857142857142858,0.7714285714285715,346753.0,3.33156352213912e-12,0.22218345105669046,small
telco,0.0,15,kendall,1332,426,0.7333333333333333,0.6,343859.5,2.609434715058506e-11,0.2119848721961397,small
telco,0.0,15,jaccard,1332,426,1.0,0.6666666666666666,332182.0,2.011960723600133e-09,0.17082575533279765,small
